name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
professor,human,,,,,,,,,,,,,,
scientist,human,,,,,,,,,,,,,,
footballer,human,,,,,,,,,,,,,,
player,human,,,,,,,,,,NP{tags:game},,,,
hairdresser,human,,,,,,,,,,,,,,
supermodel,human,,,,,,,,,,,,,,
pianist,human,,,,,,,,,,,,,,
spy,human,,,,,,,,,,,,,,
ambassador,human,,,,,,,,,,,,,,
carpenter,human,,,,,,,,,,,,,,
blacksmith,human,,,,,,,,,,,,,,
maid,human,,,,,,,,,,,,,,
mechanic,human,,,,,,,,,,,,,,
musician,human,,,,,,,,,,,,,,
prisoner,human,,,,,,,,,,,,,,
slave,human,,,,,,,,,,,,,,
pilot,human,,,,,,,,,,,,,,
farmer,human,,,,,,,,,,,,,,
peasant,human,,,,,,,,,,,,,,
servant,human,,,,,,,,,,,,,,
mayor,human,,,,,,,,,,,(of DP{tags:city}),,,
sheriff,mayor,,,,,,,,,,,,,,
cowboy,human,,,,,,,,,,,,,,
gynaecologist,human,,,,,,,,,,,,,,
dentist,human,,,,,,,,,,,,,,
detective,human,,,,,,,,,,,,,,
investigator,human,,,,,,,,,,,,,,
fugitive,human,,,,,,,,,,,,,,
hostage,human,,,,,,,,,,,,,,
witness,human,,,,,,,,,,,,,,
defendant,human,,,,,,,,,,,,,,
informant,human,,,,,,,,,,,,,,
florist,human,,,,,,,,,,,,,,
beekeeper,human,,,,,,,,,,,,,,
passenger,human,,,,,,,,,,,,,,
patient,human,,,,,,,,,,,,,,
taxidermist,human,,,,,,,,,,,,,,
salesman,human,,,,,,,,,,"(55 N{tags:artifact, number:sg})",,pl: salesmen,,
actor,human,,,,,,,,,,,,,,
assistant,human,,,,,"anim:3,",,,,,,,,,
priest,human,,,,,,,,,,,,,,
shepherd,human,,,,,,,,,,,,,,
magician,human,,,,,,,,,,,,,,
guard,human,,,,,,,,,,,,,,
captain,human,,,,,,,,,,,,,,
clown,human,,,,,,,,,,,,,,
witch doctor,human,,,,,,,,,,,,,,
assassin,human,,,,,,,,,,,,,,
minstrel,human,,,,,,,,,,,,,,
wizard,human,,,,,,,,,,,,,,
druid,human,,,,,,,,,,,,,,
ninja,human,,,,,,,,,,,,,,
monk,human,,,,,,,,,,,,,,
nun,human,,,,,,,,,,,,,,
prophet,human,,,,,,,,,,,,,,
Nerf-herder,human,,,,,,,,,,,,,,
Narnia,Japan,,,,,,,,,,,,,,
Metropolis,London,,,,,,,,,,,,,,
Gotham,London,,,,,,,,,,,,,,
New York,London,,,,,,,,,,,,,,
Timbuktu,London,,,,,,,,,,,,,,
Langley,London,,,,,,,,,,,,,,
Helsinki,London,,,,,,,,,,,,,,
El Paso,London,,,,,,,,,,,,,,
Frankfurt,London,,,,,,,,,,,,,,
Moscow,London,,,,,,,,,,,,,,
Kathmandu,London,,,,,,,,,,,,,,
Mississippi,Nile,,,,,,,,,,,,,,
novel,book,,,,1,,,,,,,,,,
ogre,human,,,,,,,,,,,,,,
parade,concert,,,,,,,,,,,,,,
parrot,bird,,,,,,,,,airAnimal,,,,,
person,human,,,,1,,,,,,,,pl:people,,
picture,rock,,,,3,,,,"4,5",,,(of NP),,,
pirate,human,,,,,,,,,,,,,,
platypus,dog,,,,,,,,,,,,pl:platypi,,
polygamist,human,,,,,,,,,,,,,,
porcupine,dog,,,,,,,,,,,,,,
prediction,statement,,,,,,,,,telic,,,,,
pterodactyl,dog,,,,,,,,7,,,,,,
queen,human,,,f,,tags:territory|collective&person,,,,,,,,,
queen.1,queen,,,,,--,1,,,,,of DP{tags:territory;},,def:indef,
queen1,queen,,,,,,,,,,,(60  of the N{anim:>1; number:pl;}  |40  of N{(67 number:pl; |33 count:false)} ),,"def:indef,number:pl",
king,queen,,,m,,,,,,,,,,,
king1,queen1,,,,,,,,,,,,,,
emperor,queen,,,m,,,,,,,,,,,
